Date,Open,High,Low,Close,Adj Close,Volume
2002-07-31,2.411314,2.648139,2.389784,2.648139,2.367652,151317330
2002-08-01,2.648139,2.766552,2.615845,2.669669,2.386901,51213238
2002-08-02,2.669669,2.788081,2.615845,2.788081,2.492771,25797054
2002-08-05,2.734257,2.831141,2.658904,2.680433,2.396525,27420402
2002-08-06,2.669669,2.669669,2.551256,2.605080,2.329153,25160721
2002-08-07,2.680433,2.745022,2.658904,2.734257,2.444648,14459170
2002-08-08,2.734257,2.884964,2.723493,2.863435,2.560144,25601974
2002-08-09,2.906494,2.928024,2.788081,2.809611,2.512021,9048012
2002-08-12,2.788081,2.841905,2.701963,2.798846,2.502396,12308929
2002-08-13,2.798846,2.798846,2.701963,2.723493,2.435024,6321532
2002-08-14,2.712728,2.831141,2.701963,2.766552,2.473522,10699693
2002-08-15,2.841905,2.841905,2.745022,2.777317,2.483148,13188825
2002-08-16,2.788081,2.852670,2.788081,2.820376,2.521646,12489787
2002-08-19,2.798846,2.992612,2.798846,2.992612,2.675639,9849235
2002-08-20,3.014142,3.218673,3.014142,3.175614,2.839257,29029815
2002-08-21,3.143320,3.369380,3.143320,3.294027,2.945128,20149013
2002-08-22,3.272497,3.315556,3.121790,3.164849,2.829633,21450529
2002-08-23,3.164849,3.164849,3.164849,3.164849,2.829633,0
2002-08-26,3.229438,3.315556,3.218673,3.240203,2.897005,10302100
2002-08-27,3.315556,3.433969,3.261732,3.390910,3.031749,17326419
2002-08-28,3.401675,3.455499,3.197144,3.207908,2.868131,18069550
2002-08-29,3.175614,3.175614,3.035672,3.143320,2.810385,26872319
2002-08-30,3.175614,3.186379,3.121790,3.164849,2.829633,4758567
2002-09-02,3.186379,3.186379,3.089496,3.089496,2.762261,3125930
2002-09-03,3.089496,3.121790,2.960318,3.003377,2.685263,8708944
2002-09-04,2.906494,3.121790,2.906494,3.089496,2.762261,8948150
2002-09-05,3.111025,3.132555,3.067966,3.100260,2.771884,4427859
2002-09-06,3.121790,3.175614,3.111025,3.164849,2.829633,6530547
2002-09-09,3.164849,3.294027,3.154084,3.294027,2.945128,9061947
2002-09-10,3.304791,3.380145,3.229438,3.272497,2.925878,12113561
2002-09-11,3.315556,3.390910,3.283262,3.347851,2.993251,6994327
2002-09-12,3.358615,3.584676,3.358615,3.552382,3.176119,28096216
2002-09-13,3.541617,3.541617,3.444734,3.487793,3.118371,5552823
2002-09-16,3.487793,3.530852,3.466263,3.509323,3.137620,8492962
2002-09-17,3.541617,3.746148,3.541617,3.703089,3.310863,18129932
2002-09-18,3.660030,3.660030,3.477028,3.573911,3.195367,13090542
2002-09-19,3.563147,3.616971,3.530852,3.606206,3.224242,7348491
2002-09-20,3.552382,3.821502,3.520087,3.810737,3.407109,12710414
2002-09-23,3.810737,4.036798,3.724618,3.724618,3.330111,26115221
2002-09-24,3.724618,3.724618,3.595441,3.638500,3.253115,9672734
2002-09-25,3.552382,3.563147,3.003377,3.229438,2.887380,55860419
2002-09-26,3.207908,3.358615,3.143320,3.186379,2.848881,19891229
2002-09-27,3.240203,3.433969,3.186379,3.401675,3.041374,14120102
2002-09-30,3.358615,3.541617,3.358615,3.423204,3.060623,15137306
2002-10-01,3.423204,3.423204,3.423204,3.423204,3.060623,0
2002-10-02,3.444734,3.498558,3.433969,3.487793,3.118371,4231385
2002-10-03,3.477028,3.487793,3.358615,3.423204,3.060623,3409261
2002-10-04,3.401675,3.466263,3.132555,3.207908,2.868131,11110290
2002-10-07,3.186379,3.186379,2.971083,3.078731,2.752636,12039244
2002-10-08,3.067966,3.186379,3.014142,3.175614,2.839257,3679819
2002-10-09,3.164849,3.369380,3.143320,3.294027,2.945128,13144700
2002-10-10,3.283262,3.337086,3.240203,3.261732,2.916254,4721409
2002-10-11,3.283262,3.283262,3.197144,3.207908,2.868131,1713920
2002-10-14,3.207908,3.207908,3.207908,3.207908,2.868131,0
2002-10-15,3.229438,3.380145,3.229438,3.358615,3.002875,4582065
2002-10-16,3.401675,3.487793,3.401675,3.433969,3.070248,6798364
2002-10-17,3.423204,3.616971,3.423204,3.509323,3.137620,10497181
2002-10-18,3.563147,3.638500,3.487793,3.509323,3.137620,6844069
2002-10-21,3.455499,3.530852,3.455499,3.509323,3.137620,2684677
2002-10-22,3.552382,3.552382,3.380145,3.412439,3.050998,1727390
2002-10-23,3.444734,3.444734,3.358615,3.401675,3.041374,2824020
2002-10-24,3.401675,3.444734,3.390910,3.423204,3.060623,2782217
2002-10-25,3.423204,3.423204,3.369380,3.401675,3.041374,2371155
2002-10-28,3.401675,3.401675,3.369380,3.390910,3.031749,1644248
2002-10-29,3.401675,3.520087,3.401675,3.466263,3.099121,5176596
2002-10-30,3.466263,3.466263,3.433969,3.455499,3.089498,1890421
2002-10-31,3.455499,3.477028,3.380145,3.433969,3.070248,9408832
2002-11-01,3.390910,3.401675,3.337086,3.369380,3.012499,7220295
2002-11-04,3.380145,3.444734,3.380145,3.401675,3.041374,7466468
2002-11-05,3.401675,3.401675,3.121790,3.240203,2.897005,20866631
2002-11-06,3.218673,3.250968,3.207908,3.229438,2.887380,11101409
2002-11-07,3.207908,3.294027,3.207908,3.250968,2.906630,8657852
2002-11-08,3.240203,3.261732,3.218673,3.261732,2.916254,2157495
2002-11-11,3.261732,3.261732,3.250968,3.250968,2.906630,462154
2002-11-12,3.250968,3.261732,3.240203,3.250968,2.906630,629366
2002-11-13,3.250968,3.272497,3.240203,3.261732,2.916254,1336244
2002-11-14,3.250968,3.347851,3.250968,3.326321,2.974002,2559268
2002-11-15,3.326321,3.369380,3.326321,3.337086,2.983626,1242476
2002-11-18,3.358615,3.369380,3.337086,3.358615,3.002875,3664723
2002-11-19,3.433969,3.433969,3.347851,3.369380,3.012499,1546708
2002-11-20,3.358615,3.358615,3.229438,3.261732,2.916254,1899711
2002-11-21,3.272497,3.283262,3.218673,3.229438,2.887380,3399971
2002-11-22,3.272497,3.272497,3.218673,3.218673,2.877755,1637281
2002-11-25,3.250968,3.261732,3.229438,3.229438,2.887380,2083179
2002-11-26,3.240203,3.283262,3.229438,3.229438,2.887380,2863500
2002-11-27,3.229438,3.229438,3.100260,3.100260,2.771884,7698706
2002-11-28,3.121790,3.261732,3.121790,3.240203,2.897005,8452678
2002-11-29,3.250968,3.250968,3.197144,3.229438,2.887380,3434807
2002-12-02,3.229438,3.229438,3.229438,3.229438,2.887380,0
2002-12-03,3.218673,3.229438,3.207908,3.218673,2.877755,3055329
2002-12-04,3.229438,3.229438,3.175614,3.186379,2.848881,803545
2002-12-05,3.164849,3.186379,3.164849,3.186379,2.848881,1055064
2002-12-06,3.164849,3.164849,3.143320,3.164849,2.829633,2857458
2002-12-09,3.154084,3.175614,3.154084,3.164849,2.829633,2928527
2002-12-10,3.143320,3.154084,3.132555,3.143320,2.810385,1462173
2002-12-11,3.132555,3.132555,2.960318,3.100260,2.771884,13492565
2002-12-12,3.078731,3.175614,3.067966,3.175614,2.839257,4909522
2002-12-13,3.154084,3.164849,3.089496,3.143320,2.810385,1638024
2002-12-16,3.121790,3.218673,3.078731,3.207908,2.868131,1263377
2002-12-17,3.197144,3.261732,3.121790,3.121790,2.791134,1426009
2002-12-18,3.229438,3.229438,3.164849,3.186379,2.848881,901085
2002-12-19,3.197144,3.207908,3.143320,3.207908,2.868131,434286
2002-12-20,3.143320,3.164849,3.121790,3.132555,2.800759,904336
2002-12-23,3.132555,3.207908,3.132555,3.207908,2.868131,953571
2002-12-24,3.197144,3.240203,3.197144,3.240203,2.897005,2507247
2002-12-25,3.240203,3.240203,3.240203,3.240203,2.897005,0
2002-12-26,3.240203,3.240203,3.240203,3.240203,2.897005,0
2002-12-27,3.250968,3.283262,3.229438,3.283262,2.935503,1504905
2002-12-30,3.229438,3.326321,3.229438,3.326321,2.974002,2015830
2002-12-31,3.315556,3.390910,3.315556,3.390910,3.031749,3523058
2003-01-01,3.390910,3.390910,3.390910,3.390910,3.031749,0
2003-01-02,3.337086,3.337086,3.315556,3.337086,2.983626,1449168
2003-01-03,3.337086,3.347851,3.294027,3.294027,2.945128,3704668
2003-01-06,3.315556,3.315556,3.250968,3.261732,2.916254,1275453
2003-01-07,3.283262,3.337086,3.229438,3.229438,2.887380,2805441
2003-01-08,3.272497,3.337086,3.272497,3.315556,2.964376,2582492
2003-01-09,3.380145,3.487793,3.380145,3.455499,3.089498,12297029
2003-01-10,3.520087,3.821502,3.509323,3.724618,3.330111,15780607
2003-01-13,3.713854,3.724618,3.638500,3.660030,3.272364,5011707
2003-01-14,3.660030,3.660030,3.606206,3.660030,3.272364,3595052
2003-01-15,3.660030,3.692324,3.638500,3.692324,3.301238,5622494
2003-01-16,3.681559,3.692324,3.595441,3.660030,3.272364,5028892
2003-01-17,3.616971,3.692324,3.616971,3.660030,3.272364,998625
2003-01-20,3.660030,3.681559,3.660030,3.670795,3.281989,1767335
2003-01-21,3.660030,3.703089,3.649265,3.692324,3.301238,1929902
2003-01-22,3.692324,3.939914,3.692324,3.875326,3.464857,9220672
2003-01-23,3.660030,3.660030,3.035672,3.100260,2.771884,112006088
2003-01-24,2.906494,2.906494,2.658904,2.798846,2.502396,117686870
